IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2017,false,,,,,,,,,,,,,59.11,,,,,,59,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2017,false,,,,,,,,,,,,,66.72,,,,,,67,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2017,false,,,,,,,,,,,,,77.53,,,,,,78,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2017,false,,,,,,,,,,,,,80.56,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2017,false,,,,,,,,,,,,,80.53,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,,,,,,,,,,,,,42.14,,,,,,42,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,,,,,,,,,,,,,52.73,,,,,,53,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2015,false,,,,,,,,,,,,,55.66,,,,,,56,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,,,,,,,,,,,,,64.54,,,,,,65,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,,,,,,,,,,,,,74.8,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2015,false,,,,,,,,,,,,,79.15,,,,,,79,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,,,,,,,,,,,,,79.93,,,,,,80,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2010,false,,,,,,,,,,,,,36.22,,,,,,36,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2010,false,,,,,,,,,,,,,47.24,,,,,,47,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2010,false,,,,,,,,,,,,,46.98,,,,,,47,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2010,false,,,,,,,,,,,,,58.03,,,,,,58,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2010,false,,,,,,,,,,,,,66.27,,,,,,66,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2010,false,,,,,,,,,,,,,75.05,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2010,false,,,,,,,,,,,,,74.59,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2005,false,,,,,,,,,,,,,27.51,,,,,,28,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2005,false,,,,,,,,,,,,,34.44,,,,,,34,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2005,false,,,,,,,,,,,,,41.55,,,,,,42,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2005,false,,,,,,,,,,,,,49.78,,,,,,50,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2005,false,,,,,,,,,,,,,57.3,,,,,,57,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2005,false,,,,,,,,,,,,,67.76,,,,,,68,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2005,false,,,,,,,,,,,,,71.16,,,,,,71,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2000,false,,,,,,,,,,,,,23.42,,,,,,23,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2000,false,,,,,,,,,,,,,29.73,,,,,,30,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2000,false,,,,,,,,,,,,,37.49,,,,,,37,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2000,false,,,,,,,,,,,,,44.63,,,,,,45,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2000,false,,,,,,,,,,,,,48.51,,,,,,49,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2000,false,,,,,,,,,,,,,64.46,,,,,,64,,,EN,2023-04-30T22:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2000,false,,,,,,,,,,,,,65.67,,,,,,66,,,EN,2023-04-30T22:00:00.000Z
